aroma	aroma	1
bagel	bagel	1
batter	batter	1
beans	beans	1
beer	beer	1
biscuit	biscuit	1
bread	bread	1
broth	broth	1
burger	burger	1
butter	butter	1
cake	cake	1
candy	candy	1
caramel	caramel	1
caviar	caviar	1
cheese	cheese	1
chili	chili	1
chocolate	chocolate	1
cider	cider	1
cobbler	cobbler	1
cocoa	cocoa	1
coffee	coffee	1
cookie	cookie	1
cream	cream	1
croissant	croissant	1
curd	curd	1
dessert	dessert	1
eggs	eggs	1
entree	entree	1
filet	filet	1
fish	fish	1
flour	flour	1
foie gras	foie gras	1
hamburger	hamburger	1
juice	juice	1
ketchup	ketchup	1
kitchen	kitchen	1
lard	lard	1
liquor	liquor	1
margarine	margarine	1
marinade	marinade	1
mayo	mayo	1
mayonnaise	mayonnaise	1
meat	meat	1
milk	milk	1
mousse	mousse	1
muffin	muffin	1
mushroom1	mushroom1	1
noodle	noodle	1
nut	nut	1
oil	oil	1
olive	olive	1
omelette	omelette	1
pan	pan	1
pasta	pasta	1
paste	paste	1
pastry	pastry	1
pie	pie	1
pizza	pizza	1
poutine	poutine	1
pudding	pudding	1
raclette	raclette	1
rice	rice	1
salad	salad	1
salsa	salsa	1
sandwich	sandwich	1
soda	soda	1
soup	soup	1
soy	soy	1
spice	spice	1
steak	steak	1
stew	stew	1
syrup	syrup	1
tartar	tartar	1
taste	taste	1
tea	tea	1
toast	toast	1
vinegar	vinegar	1
waffle	waffle	1
water	water	1
wheat	wheat	1
wine	wine	1
wok	wok	1
yeast	yeast	1
yogurt	yogurt	1
ramen	ramen	1
tonkotsu ramen	tonkotsu ramen	1
miso ramen	miso ramen	1
shoyu ramen	shoyu ramen	1
shio ramen	shio ramen	1
tsukemen	tsukemen	1
wakayama ramen	wakayama ramen	1
abura soba	abura soba	1
asahikawa ramen	asahikawa ramen	1
ramen broth	ramen broth	1
sliced fried pork	sliced fried pork	1
chashu	chashu	1
menma	menma	1
pho	pho	1
vermicelli	vermicelli	1
instant ramen	instant ramen	1
